307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
307,136
304,134
291,134
259,134
217,134
163,137
128,139
88,143
81,144
69,145
64,146
63,147
63,148
63,149
63,150
64,154
65,157
72,172
83,193
95,205
114,218
148,232
178,239
214,245
247,248
266,248
283,247
293,244
304,239
314,234
327,227
338,220
345,215
351,211
354,209
355,208
355,208
355,208
355,209
355,214
352,224
346,236
338,251
331,260
320,269
303,275
287,277
270,277
257,277
248,274
243,270
238,263
232,256
230,246
228,229
228,213
234,198
238,191
243,186
248,182
253,181
262,180
274,180
280,180
287,180
298,180
303,183
311,188
319,191
328,196
337,203
350,211
360,217
369,224
375,228
382,230
386,232
391,232
395,230
402,221
407,212
409,202
409,193
409,185
405,177
395,171
386,169
369,168
354,170
342,175
325,186
318,194
311,205
308,214
307,220
307,223
